episode_a,episode_b,family_a,family_b,similarity_value,threshold,acf_exact_match,taxonomy_equal,fused_surface_equal_after_normalization,adjudication,action
atk_p42_083,atk_p42_084,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_084,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_085,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_085,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_086,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_086,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_087,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_087,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_088,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_088,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_089,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_089,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_090,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_090,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_091,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_091,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_092,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_083,atk_p42_092,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_084,atk_p42_085,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
atk_p42_084,atk_p42_085,cross_context_injection,cross_context_injection,1.0,0.88,False,False,True,VALID_VARIANT,KEEP_BOTH
